ticket,open_time,direction,open_price,sl,sl_pips,tp,tp_pips,close_price,close_reason,profit,mfe_points,mae_points
1577890766,2026-04-09T00:21:05,SELL,4607.67,0.0,46076.7,0.0,46076.7,4620.8,Expert Advisor,-13.13,,
1577968486,2026-04-09T01:04:41,BUY,4642.29,0.0,46422.9,0.0,46422.9,4641.64,Expert Advisor,-0.65,,
1582049299,2026-04-09T02:33:20.368869,BUY,4729.43,4716.0,134.3,4750.0,205.7,4715.99,Stop Loss,-13.48,,
1582503419,2026-04-09T07:39:40.732922,BUY,4729.16,4705.0,241.6,4755.0,258.4,4729.24,Stop Loss,0.35,,
1582806990,2026-04-09T10:34:43.456772,BUY,4741.37,4734.0,73.7,4755.0,136.3,4741.22,Stop Loss,-0.2,,
1582898562,2026-04-09T11:29:18.350572,SELL,4744.07,4756.0,119.3,4721.0,230.7,4747.07,Stop Loss,-1.8199999999999998,,
1583222282,2026-04-09T13:41:40.135915,BUY,4773.64,4744.0,296.4,4812.0,383.6,4769.24,Stop Loss,-4.23,,
1583554253,2026-04-09T15:44:52.295307,BUY,4791.54,4772.0,195.4,4815.0,234.6,4787.93,Stop Loss,-3.61,,
1583748365,2026-04-09T17:27:28.824946,BUY,4792.68,4785.0,76.8,4813.0,203.2,4796.93,Stop Loss,8.12,,
1582984773,2026-04-09T17:27:54,SELL,4747.5,0.0,47475.0,0.0,47475.0,4735.64,Take Profit,11.86,,
1583425062,2026-04-09T20:18:10,BUY,4766.89,0.0,47668.9,0.0,47668.9,4780.01,Take Profit,13.12,,
1583554158,2026-04-09T21:14:52,BUY,4791.54,0.0,47915.4,0.0,47915.4,4787.93,Stop Loss,-3.61,,
1584222155,2026-04-10T00:03:23.241237,BUY,4756.28,4732.0,242.8,4800.0,437.2,4756.81,Stop Loss,0.54,,
1584520327,2026-04-10T03:13:52.038147,BUY,4759.83,4734.0,258.3,4790.0,301.7,4759.94,Stop Loss,0.04,,
1585208454,2026-04-10T12:30:14,SELL,4764.87,0.0,47648.7,0.0,47648.7,4778.04,Stop Loss,-13.17,,
1586120464,2026-04-10T18:03:22,BUY,4757.0,4747.0,100.0,4785.0,280.0,4759.95,Stop Loss,2.95,,
1587157223,2026-04-12T23:09:03.435330,BUY,4645.35,4633.0,123.5,4675.0,296.5,4686.74,Expert Advisor,82.78,407.5,16.1
1587397040,2026-04-13T01:27:29.001803,SELL,4722.17,4730.0,78.3,4696.0,261.7,4722.55,Stop Loss,-0.76,31.1,-45.0
1587464955,2026-04-13T02:12:27.290344,BUY,4717.68,4688.0,296.8,4748.0,303.2,4726.39,Stop Loss,8.71,127.7,-71.7
1587812961,2026-04-13T06:29:03.940797,SELL,4733.25,4745.0,117.5,4700.0,332.5,4734.19,Expert Advisor,-1.88,-30.5,-40.8
1587895708,2026-04-13T07:11:35.926440,BUY,4729.84,4709.0,208.4,4755.0,251.6,4729.99,Stop Loss,0.3,96.5,-38.2
1587895640,2026-04-13T07:56:14Z,BUY,4729.84,0.0,47298.4,0.0,47298.4,4729.99,Stop Loss,0.3,,
1588440087,2026-04-13T09:40:26.285591,BUY,4714.0,4693.0,210.0,4731.0,170.0,4728.95,Expert Advisor,14.95,157.9,-87.4
1588562779,2026-04-13T13:11:21.835924Z,SELL,4732.01,4742.0,99.9,4714.0,180.1,4733.03,Stop Loss,-2.04,23.1,-34.3
1588639348,2026-04-13T13:40:35.256966Z,BUY,4745.21,4730.0,152.1,4775.0,297.9,4732.16,Expert Advisor,-26.1,-6.0,-187.1
1588858686,2026-04-13T14:10:34.189259Z,BUY,4712.75,4688.0,247.5,4730.0,172.5,4732.21,Expert Advisor,38.92,244.3,-95.3
1589797122,2026-04-13T17:09:28.961991Z,BUY,4774.79,4698.0,767.9,4738.0,367.9,4766.92,Expert Advisor,-7.87,15.9,-86.2
1589381993,2026-04-13T18:50:28.076128Z,BUY,4735.8,4724.0,118.0,4755.0,192.0,4735.98,Stop Loss,0.36,42.9,9.9
1589450832,2026-04-13T19:37:33Z,SELL,4745.37,4751.0,56.3,4733.0,123.7,4745.5,Stop Loss,-0.26,62.3,-21.2
1590450271,2026-04-14T07:35:33.896102Z,SELL,4772.8,4779.5,67.0,4761.0,118.0,4779.51,Stop Loss,-13.48,1.1,-52.8
1590504879,2026-04-14T08:02:31.495459Z,SELL,4776.67,4784.0,73.3,4760.0,166.7,4780.5,Stop Loss,-7.68,9.4,2.2
1591086201,2026-04-14T08:51:08.854531Z,SELL,4775.01,4797.0,219.9,4774.0,10.1,4777.07,Stop Loss,-4.12,-8.8,-8.8
1591217338,2026-04-14T13:32:01.670316Z,SELL,4793.05,4805.0,119.5,4762.0,310.5,4794.75,Expert Advisor,-3.4,42.5,-25.7
1591335905,2026-04-14T14:04:42.151220Z,BUY,4815.75,4783.0,327.5,4878.0,622.5,4791.81,Expert Advisor,-23.94,1.1,-229.4
1591599031,2026-04-14T15:45:26.807992Z,BUY,4813.24,4785.0,282.4,4857.0,437.6,4813.17,Stop Loss,-0.07,56.0,-53.4
1591715638,2026-04-14T16:47:43.970911Z,BUY,4823.0,4790.0,330.0,4860.0,370.0,4834.8,Stop Loss,11.8,163.2,-8.9
1592127073,2026-04-14T18:02:30.300627Z,BUY,4838.0,4800.0,380.0,4846.0,80.0,4840.22,Expert Advisor,4.44,44.4,14.3
1592873160,2026-04-14T22:56:24.707037Z,BUY,4813.0,4794.0,190.0,4848.0,350.0,4804.99,Stop Loss,-16.02,2.6,-14.7
1592474728,2026-04-15T01:57:43Z,SELL,4848.14,4860.0,118.6,4807.0,411.4,4820.01,Stop Loss,56.26,276.8,194.7
1592885709,2026-04-15T07:09:02Z,BUY,4813.0,0.0,48130.0,0.0,48130.0,4811.38,Expert Advisor,-3.24,,
1592995585,2026-04-15T07:48:28.939878Z,BUY,4808.17,4794.0,141.7,4828.0,198.3,4813.36,Stop Loss,10.4,103.1,-21.8
1593264267,2026-04-15T10:06:42.188587Z,BUY,4798.5,4779.0,195.0,4813.0,145.0,4798.91,Stop Loss,0.96,60.0,-74.0
1593409072,2026-04-15T11:36:21.801786Z,BUY,4803.72,4786.0,177.2,4846.0,422.8,4809.77,Stop Loss,12.1,109.9,-7.0
1593408969,2026-04-15T12:03:56Z,BUY,4803.08,0.0,48030.8,0.0,48030.8,4809.77,Stop Loss,13.38,,
1593492605,2026-04-15T12:17:45.939105Z,BUY,4814.32,4796.0,183.2,4830.0,156.8,4811.27,Expert Advisor,-6.08,12.6,-51.7
1593889465,2026-04-15T15:17:49.526693Z,BUY,4797.95,4782.0,159.5,4830.0,320.5,4796.78,Expert Advisor,-2.34,-23.8,-46.6
1594471754,2026-04-15T22:23:39.742409Z,BUY,4801.57,4786.0,155.7,4812.0,104.3,4809.49,Expert Advisor,15.66,32.6,-23.0
1594644611,2026-04-16T00:42:26.008425Z,BUY,4823.98,4810.0,139.8,4846.0,220.2,4819.57,Expert Advisor,-8.82,13.2,-103.2
1594960392,2026-04-16T05:03:27.030855Z,BUY,4834.5,4826.0,85.0,4847.0,125.0,4834.53,Stop Loss,0.06,19.3,9.4
1594960369,2026-04-16T05:08:04Z,BUY,4834.5,0.0,48345.0,0.0,48345.0,4834.53,Stop Loss,0.06,,
1595075078,2026-04-16T06:21:16.062829Z,BUY,4812.1,4804.0,81.0,4833.0,209.0,4811.15,Expert Advisor,-1.9,17.5,-8.5
1595415602,2026-04-16T09:18:25.764183Z,BUY,4814.31,4806.0,83.1,4834.0,196.9,4814.25,Stop Loss,0.0,27.9,9.1
1595985317,2026-04-16T14:00:18.500359Z,SELL,4800.01,4808.0,79.9,4778.0,220.1,4798.63,Stop Loss,2.76,71.9,-22.0
1596129006,2026-04-16T14:42:09.614158Z,SELL,4788.02,4802.0,139.8,4754.0,340.2,4789.11,Expert Advisor,-2.18,5.5,-40.2
1596256448,2026-04-16T15:29:15.257713Z,BUY,4805.01,4786.0,190.1,4830.0,249.9,4804.31,Expert Advisor,-1.34,-2.3,-58.9
1597240329,2026-04-17T04:44:02.203995Z,SELL,4800.45,4807.5,70.5,4786.0,144.5,4803.13,Expert Advisor,-5.38,15.2,-37.0
1597317547,2026-04-17T05:44:12.544087Z,BUY,4798.13,4794.0,41.3,4805.0,68.7,4797.43,Stop Loss,-1.44,8.3,-20.3
1597387845,2026-04-17T06:26:06.372896Z,BUY,4785.5,4777.5,80.0,4799.5,140.0,4782.11,Expert Advisor,-6.78,-17.0,-28.4
1598083939,2026-04-17T12:44:56.429151Z,BUY,4830.59,4798.0,325.9,4848.0,174.1,4840.89,Expert Advisor,20.6,156.0,48.2
1598566919,2026-04-17T14:25:38.985779Z,BUY,4861.73,4847.0,147.3,4888.0,262.7,4867.89,Expert Advisor,12.32,89.0,-33.2
1598956252,2026-04-17T17:10:50.842368Z,BUY,4855.34,4848.0,73.4,4867.0,116.6,4856.17,Expert Advisor,1.6600000000000001,75.3,-15.0
1599940741,2026-04-19T22:05:05.141923Z,BUY,4776.91,4768.0,89.1,4790.0,130.9,4793.53,Take Profit,33.5,108.2,-11.5
1599992865,2026-04-19T22:22:24.612062Z,BUY,4789.09,4774.0,150.9,4809.0,199.1,4780.61,Stop Loss,-16.48,6.8,-77.0
1600305528,2026-04-20T01:12:57.981739Z,SELL,4797.7,4802.0,43.0,4785.0,127.0,4798.67,Expert Advisor,-1.94,12.5,-2.0
1600833090,2026-04-20T07:20:42.860197Z,BUY,4803.35,4790.0,133.5,4828.0,246.5,4797.17,Expert Advisor,-12.36,16.6,-57.2
1601128394,2026-04-20T10:09:11.366609Z,BUY,4798.02,4788.5,95.2,4804.0,59.8,4795.49,Expert Advisor,-4.92,7.2,-25.5
1601208389,2026-04-20T11:05:46.505332Z,BUY,4787.0,4783.0,40.0,4797.0,100.0,4787.98,Stop Loss,1.96,15.2,-2.4
1601347521,2026-04-20T12:12:15.790692Z,BUY,4802.93,4790.0,129.3,4820.0,170.7,4805.79,Expert Advisor,5.72,36.5,-22.8
1601761197,2026-04-20T14:41:59Z,BUY,4813.87,0.0,48138.7,0.0,48138.7,4811.66,Expert Advisor,-4.42,,
1601849565,2026-04-20T15:05:10.307899Z,BUY,4794.49,4784.5,99.9,4809.0,145.1,4807.15,Expert Advisor,25.32,120.8,6.9
1603026790,2026-04-21T06:22:13.078994Z,BUY,4776.74,4757.0,197.4,4796.0,192.6,4777.04,Expert Advisor,0.6,56.0,11.4
1603547246,2026-04-21T12:15:10Z,BUY,4790.99,4784.0,69.9,4803.0,120.1,4783.9,Stop Loss,-14.18,,
1603694787,2026-04-21T12:52:35.132907Z,BUY,4775.17,4765.0,101.7,4788.0,128.3,4769.16,Expert Advisor,-12.02,-31.7,-67.6
1603833049,2026-04-21T13:37:16.546974Z,SELL,4775.54,4780.0,44.6,4758.0,175.4,4780.04,Stop Loss,-9.06,0.9,-4.4
1604966610,2026-04-21T20:35:45.585071Z,BUY,4710.43,4698.0,124.3,4718.0,75.7,4710.27,Stop Loss,-0.02,7.6,2.0
1605010600,2026-04-21T22:03:55.588962Z,SELL,4726.9,4738.0,111.0,4707.0,199.0,4729.19,Stop Loss,-3.8,107.0,4.0
1605103684,2026-04-21T23:37:50.043152Z,SELL,4731.31,4740.5,91.9,4705.0,263.1,4735.07,Expert Advisor,-7.28,10.0,-21.5
1605124275,2026-04-21T23:51:48.897372Z,SELL,4738.18,4744.5,63.2,4722.0,161.8,4744.66,Stop Loss,-12.96,-5.3,-17.0
1605185504,2026-04-22T00:41:24.171517Z,BUY,4736.51,4723.0,135.1,4762.0,254.9,4743.87,Trailing Stop,14.72,122.8,13.2
